date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:09:53	27908/27908	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Jan%202020%2006:46:31%20GMT	https://a1cocopeats.com/product.html	E:/front-end-projects/seeds%20project/a1cocopeats.com/product.html	(from )
13:09:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Dec%202023%2007:39:54%20GMT	https://a1cocopeats.com/robots.txt		(from )
13:09:54	2936/2936	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:54:46%20GMT	https://a1cocopeats.com/css/owl.carousel.min.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/owl.carousel.min.css	(from https://a1cocopeats.com/product.html)
13:09:55	68606/68606	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:54:50%20GMT	https://a1cocopeats.com/css/animate.min.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/animate.min.css	(from https://a1cocopeats.com/product.html)
13:09:55	6951/6951	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:54:52%20GMT	https://a1cocopeats.com/css/magnific-popup.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/magnific-popup.css	(from https://a1cocopeats.com/product.html)
13:09:56	3519/3519	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:54:54%20GMT	https://a1cocopeats.com/css/meanmenu.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/meanmenu.css	(from https://a1cocopeats.com/product.html)
13:09:56	144877/144877	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:54:44%20GMT	https://a1cocopeats.com/css/bootstrap.min.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/bootstrap.min.css	(from https://a1cocopeats.com/product.html)
13:09:56	2133/2133	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:55:00%20GMT	https://a1cocopeats.com/css/flaticon.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/flaticon.css	(from https://a1cocopeats.com/product.html)
13:09:56	34680/34680	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:54:58%20GMT	https://a1cocopeats.com/css/fontawesome-all.min.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/fontawesome-all.min.css	(from https://a1cocopeats.com/product.html)
13:09:56	1776/1776	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:55:04%20GMT	https://a1cocopeats.com/css/slick.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/slick.css	(from https://a1cocopeats.com/product.html)
13:09:57	11114/11114	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:55:06%20GMT	https://a1cocopeats.com/css/dripicons.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/dripicons.css	(from https://a1cocopeats.com/product.html)
13:09:57	16450/16450	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:55:08%20GMT	https://a1cocopeats.com/css/themify-icons.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/themify-icons.css	(from https://a1cocopeats.com/product.html)
13:09:57	9057/9057	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:55:12%20GMT	https://a1cocopeats.com/css/default.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/default.css	(from https://a1cocopeats.com/product.html)
13:09:57	14564/14564	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2008:55:16%20GMT	https://a1cocopeats.com/css/responsive.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/responsive.css	(from https://a1cocopeats.com/product.html)
13:09:58	74488/74488	---M--	200	added ('OK')	text/css	date:Thu,%2009%20Jan%202020%2009:25:24%20GMT	https://a1cocopeats.com/css/style.css	E:/front-end-projects/seeds%20project/a1cocopeats.com/css/style.css	(from https://a1cocopeats.com/product.html)
